AAPL
MSFT
AMZN
FB
GOOGL
GOOG
TSLA
NVDA
BRK-B
JPM
JNJ
UNH
V
HD
PG
DIS
PYPL
ADBE
BAC
MA
CMCSA
NFLX
PFE
CRM
CSCO
XOM
ABT
VZ
TMO
ACN
KO
INTC
PEP
DHR
NKE
COST
AVGO
WMT
T
LLY
ABBV
MRK
CVX
WFC
MDT
MCD
TXN
NEE
LIN
ORCL
PM
QCOM
HON
MS
C
LOW
BMY
SBUX
UNP
GS
UPS
AMT
BLK
RTX
AMGN
IBM
TGT
BA
GE
CAT
CVS
CHTR
MMM
AXP
BKNG
MO
GILD
MDLZ
LMT
DUK
TMUS
USB
COP
SO
COF
CL
FDX
GM
EMR
F
EXC
AIG
GD
MET
BIIB
SPG
BK
DD
WBA
KHC
